交易币对,买入时间,买入价格,买入数量,卖出时间,卖出价格,卖出数量,USDT Value,Fees,PnL,总资金,PnL Ratio,单笔收益率
XRP_USDT,2018-09-21 11:00:00+00:00,0.5466,1829.4914013904136,2018-09-24 00:00:00+00:00,0.56776,1829.4914013904136,1000.0,2.038712038053421,36.67,10036.67,0.37%,3.67%
TRX_USDT,2018-10-08 00:00:00+00:00,0.02772,36207.33523093566,2018-10-10 00:00:00+00:00,0.0257,36207.33523093566,1003.6673326015366,1.934195848036583,-75.07,9961.60,-0.75%,-7.48%
BCC_USDT,2018-11-07 08:00:00+00:00,639.0,1.5589358862286131,2018-11-08 00:00:00+00:00,614.79,1.5589358862286131,996.1600313000838,1.9545782247945733,-39.70,9921.90,-0.40%,-3.98%
TRX_USDT,2019-01-07 14:00:00+00:00,0.02357,42095.47686453309,2019-01-10 00:00:00+00:00,0.02886,42095.47686453309,992.190389697045,2.20706585200747,220.48,10142.38,2.17%,22.22%
BNB_USDT,2019-02-08 16:00:00+00:00,8.53,118.90248421725468,2019-02-11 00:00:00+00:00,9.1927,118.90248421725468,1014.2381903731823,2.1072730570371396,76.69,10219.07,0.75%,7.56%
LTC_USDT,2019-02-09 07:00:00+00:00,45.28,22.39701339563041,2019-02-11 00:00:00+00:00,44.94,22.39701339563041,1014.136766554145,2.020658548553776,-9.64,10209.44,-0.09%,-0.95%
BNB_USDT,2019-02-12 01:00:00+00:00,9.6129,106.20557442460124,2019-02-13 00:00:00+00:00,9.2001,106.20557442460124,1020.9435663862492,1.9980454716500233,-45.84,10163.60,-0.45%,-4.49%
ETH_USDT,2019-02-17 10:00:00+00:00,126.61,8.027482787511545,2019-02-20 00:00:00+00:00,141.48,8.027482787511545,1016.3595957268367,2.15208786050397,117.22,10280.81,1.14%,11.53%
LTC_USDT,2019-02-18 16:00:00+00:00,47.61,21.34547279494359,2019-02-21 00:00:00+00:00,50.93,21.34547279494359,1016.2579597672643,2.103382889213741,68.76,10349.58,0.66%,6.77%
EOS_USDT,2019-02-19 00:00:00+00:00,3.767,269.7521459971562,2019-02-22 00:00:00+00:00,3.8096,269.7521459971562,1016.1563339712875,2.0438041093620543,9.45,10359.02,0.09%,0.93%
XRP_USDT,2019-02-19 08:00:00+00:00,0.33942,2993.502793995317,2019-02-22 00:00:00+00:00,0.32016,2993.502793995317,1016.0547183378904,1.974454572863431,-59.63,10299.39,-0.58%,-5.87%
BNB_USDT,2019-02-19 14:00:00+00:00,9.996,101.6359656728748,2019-02-22 00:00:00+00:00,10.4074,101.6359656728748,1015.9531128660566,2.0737192620099334,39.74,10339.13,0.38%,3.91%
ETH_USDT,2019-02-23 16:00:00+00:00,152.96,6.759370921279338,2019-02-26 00:00:00+00:00,138.04,6.759370921279338,1033.9133761188875,1.9669769380922872,-102.82,10236.32,-1.00%,-9.94%
EOS_USDT,2019-02-23 17:00:00+00:00,4.0816,253.285472555193,2019-02-26 00:00:00+00:00,3.5498,253.285472555193,1033.8099847812757,1.9329227552577,-136.63,10099.69,-1.35%,-13.22%
BNB_USDT,2019-03-01 16:00:00+00:00,11.37,88.82750073038864,2019-03-04 00:00:00+00:00,11.4467,88.82750073038864,1009.9686833045187,2.0267504359150585,4.79,10104.47,0.05%,0.47%
BNB_USDT,2019-03-05 02:00:00+00:00,11.8,85.63112840606179,2019-03-08 00:00:00+00:00,14.925,85.63112840606179,1010.4473151915292,2.2884919066520015,265.31,10369.78,2.56%,26.26%
LTC_USDT,2019-03-06 07:00:00+00:00,53.87,18.755267689994614,2019-03-09 00:00:00+00:00,56.64,18.755267689994614,1010.3462704600098,2.072644632421305,49.88,10419.66,0.48%,4.94%
LTC_USDT,2019-03-09 09:00:00+00:00,58.48,17.81747842535302,2019-03-12 00:00:00+00:00,54.31,17.81747842535302,1041.9661383146445,2.009633391595567,-76.31,10343.35,-0.74%,-7.32%
XLM_USDT,2019-03-13 20:00:00+00:00,0.10827,9553.29534009525,2019-03-16 00:00:00+00:00,0.10679,9553.29534009525,1034.3352864721128,2.0545316958408844,-16.19,10327.16,-0.16%,-1.57%
LTC_USDT,2019-03-16 01:00:00+00:00,61.46,16.803058014842083,2019-03-19 00:00:00+00:00,59.57,16.803058014842083,1032.7159455921944,2.033674111536337,-33.79,10293.37,-0.33%,-3.27%
BNB_USDT,2019-03-16 10:00:00+00:00,15.64,66.02382826071836,2019-03-19 00:00:00+00:00,15.542,66.02382826071836,1032.6126739976353,2.0587550128257197,-8.53,10284.84,-0.08%,-0.83%
BCHABC_USDT,2019-03-18 01:00:00+00:00,163.31,6.322389398874751,2019-03-21 00:00:00+00:00,158.75,6.322389398874751,1032.5094127302357,2.0361887298016024,-30.87,10253.97,-0.30%,-2.99%
ADA_USDT,2019-03-23 02:00:00+00:00,0.05928,17297.524675423938,2019-03-26 00:00:00+00:00,0.06051,17297.524675423938,1025.397262759131,2.0720704808690336,19.20,10273.18,0.19%,1.87%
