交易币对,首次买入时间,首次买入价格,首次买入数量,加仓1买入价格,加仓1买入数量,加仓2买入价格,加仓2买入数量,卖出时间,卖出价格,卖出数量,USDT Value,Fees,PnL,总资金,PnL Ratio,单笔收益率
BTC_USDT,2018-01-05 23:00:00+00:00,16960.39,0.0166915592482498,,,,,2018-01-09 23:00:00+00:00,14400.0,0.0166915592482498,283.0953545584234,0.5234538077332214,-43.26,9956.74,-0.43%,-15.28%
BTC_USDT,2018-01-10 23:00:00+00:00,14907.09,0.0168537100886446,,,,,2018-01-11 23:00:00+00:00,13238.78,0.0168537100886446,251.23977312533302,0.4743623331726804,-28.59,9928.15,-0.29%,-11.38%
BTC_USDT,2018-05-09 23:00:00+00:00,9310.0,0.0681325089091126,,,,,2018-05-10 23:00:00+00:00,9002.2,0.0681325089091126,634.3136579438383,1.2476561296454531,-22.22,9905.93,-0.22%,-3.50%
EOS_USDT,2018-07-24 23:00:00+00:00,8.5871,41.260414501521694,8.9888,39.41653005584916,,,2018-07-30 23:00:00+00:00,7.7421,80.67694455737086,708.6146107320337,1.3332235831896546,-85.34,9820.59,-0.87%,-12.04%
ETH_USDT,2018-07-24 23:00:00+00:00,479.28,1.109207618334049,,,,,2018-07-30 23:00:00+00:00,456.23,1.109207618334049,531.6210273151429,1.037674819027686,-26.60,9793.99,-0.27%,-5.00%
ETH_USDT,2018-08-28 23:00:00+00:00,295.44,1.4592656093417358,,,,,2018-08-29 23:00:00+00:00,288.4,1.4592656093417358,431.1254316239224,0.8519776333580789,-11.13,9782.86,-0.11%,-2.58%
ETH_USDT,2018-09-01 23:00:00+00:00,295.71,1.5618790650738423,,,,,2018-09-04 23:00:00+00:00,285.3,1.5618790650738423,461.8632583329859,0.9074673555985531,-17.17,9765.69,-0.18%,-3.72%
BTC_USDT,2018-09-21 23:00:00+00:00,6759.02,0.1228021315031638,,,,,2018-09-25 23:00:00+00:00,6447.54,0.1228021315031638,830.0220628725142,1.6217937178244228,-39.87,9725.82,-0.41%,-4.80%
ETH_USDT,2018-09-21 23:00:00+00:00,247.73,1.4323094046285534,,,,,2018-09-25 23:00:00+00:00,219.62,1.4323094046285534,354.8260088086315,0.6693898002531544,-40.93,9684.89,-0.42%,-11.54%
ETH_USDT,2018-10-05 23:00:00+00:00,228.37,1.803427822716754,,,,,2018-10-06 23:00:00+00:00,225.4,1.803427822716754,411.8488118738251,0.8183414431141813,-6.17,9678.72,-0.06%,-1.50%
BTC_USDT,2018-10-15 23:00:00+00:00,6752.5,0.1229149088903117,6862.12,0.1209513856187053,,,2018-10-19 23:00:00+00:00,6528.88,0.2438662945090171,1659.9658445636599,3.2521396174576918,-71.04,9607.67,-0.74%,-4.28%
